Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Deposit fee (EUR),Notes,ID,Currency conversion fee (EUR)
Deposit,2022-04-10 06:33:04,,,,,,,,,1000.00,,,1000.00,,"Transaction ID: PC9SPRK7ZLRSK2C2",ba10d2cc-a60e-4a13-9329-f817bf4e481e,
Deposit,2022-04-10 06:36:18,,,,,,,,,1000.00,,,1000.00,,"Transaction ID: R66KB55FMMN97F32",5531246f-212e-4650-9e59-2d30a04a6493,
Market buy,2022-04-11 13:30:01,US00123Q1040,AGNC,"AGNC Investment",40.0000000000,12.58,USD,1.08853,,462.96,,,,,,EOF1868486462,0.69
Market buy,2022-04-11 13:30:09,US4592001014,IBM,"IBM Corporation",3.0000000000,128.00,USD,1.08869,,353.25,,,,,,EOF1868488308,0.53
Market buy,2022-04-11 13:30:29,US92343V1044,VZ,"Verizon",8.4564120000,53.80,USD,1.08898,,418.41,,,,,,EOF1868494332,0.63
Market buy,2022-04-11 13:30:30,US1912161007,KO,"Coca-Cola",6.7124500000,64.00,USD,1.08903,,395.06,,,,,,EOF1868494448,0.59
Market buy,2022-04-11 13:30:44,US92343V1044,VZ,"Verizon",1.5435880000,53.79,USD,1.08883,,76.37,,,,,,EOF1868495330,0.11
Market buy,2022-04-11 13:30:45,US1912161007,KO,"Coca-Cola",3.2875500000,64.00,USD,1.08883,,193.53,,,,,,EOF1868495347,0.29
Market buy,2022-04-11 13:31:18,US00206R1023,T,"AT&T",4.0000000000,19.03,USD,1.08894,,70.00,,,,,,EOF1868496091,0.10
Deposit,2022-04-12 06:51:40,,,,,,,,,1000.00,,,1007.00,7.00,"Transaction ID: JZKDJNTBCHKHBFG2",fe09a2c6-8c23-4e76-95ca-e06d8d7ac9be,
Deposit,2022-04-12 06:51:54,,,,,,,,,1000.00,,,1007.00,7.00,"Transaction ID: QD4NNRLCNQ7CHK52",fbf78bad-2b53-465b-abc5-ab18b82bd672,
Market buy,2022-04-12 13:59:05,US02079K3059,GOOGL,"Alphabet Inc. Class A",0.4000000000,2607.72,USD,1.08698,,961.05,,,,,,EOF1870295599,1.44
Market buy,2022-04-12 13:59:30,US67066G1040,NVDA,"Nvidia",3.0000000000,225.53,USD,1.08693,,623.40,,,,,,EOF1870295672,0.93
Market buy,2022-04-12 14:00:03,US5949181045,MSFT,"Microsoft",1.4000000000,290.55,USD,1.08708,,374.74,,,,,,EOF1870295863,0.56
Market buy,2022-04-12 15:08:47,US00123Q1040,AGNC,"AGNC Investment",1.0000000000,12.64,USD,1.08709,,11.65,,,,,,EOF1871505599,0.02
Deposit,2022-04-12 20:56:26,,,,,,,,,2500.00,,,2517.50,17.50,"Transaction ID: CKZBRTFXR3TSF232",0a3216a6-47c4-4dec-b87a-bbeb160bdecf,
Deposit,2022-04-13 07:02:27,,,,,,,,,2000.00,,,2014.00,14.00,"Transaction ID: V8CS4V4MH6WZ8C32",10a2883b-77d4-43a9-8b73-164a80bea933,
Market buy,2022-04-13 13:43:27,US88160R1014,TSLA,"Tesla",3.0000000000,989.84,USD,1.08254,,2747.21,,,,,,EOF1871551757,4.11
Market buy,2022-04-13 13:48:09,US4781601046,JNJ,"Johnson & Johnson",7.9929123000,179.64,USD,1.08240,,1328.53,,,,,,EOF1872705098,1.99
Market buy,2022-04-13 13:48:27,US4781601046,JNJ,"Johnson & Johnson",1.0070877000,179.77,USD,1.08228,,167.53,,,,,,EOF1872705239,0.25
